,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,MEMBER-SINCE,SEX,OCCUPATION-CODE,BLACK-LIST-CODE,BLACK-LIST-DATE,SPENDING-LIMIT,AVG-PAYMENTS,AVG-BALANCES,LAST-TRX-DATE,PY-AMT-CASH,YTD-AMT-CASH,YTD-MAX-BUCKET,PY-MAX-BUCKET,ACCOUNT-STATUS,CURRENT-BALANCE,BRANCH-CODE,AGE,AUTOMATIC-REPAYMENT,TARGET
37,37,37,37,01/10/1999,1,0,0,0,1000000.0,29167.0,918191,1,0,170000,0,2,0.0,924753.0,368,43.0,0,1
38,38,38,38,01/10/1999,1,0,0,0,1000000.0,30000.0,815926,1,0,0,0,2,0.0,746667.0,168,53.0,0,1
39,39,39,39,01/10/1999,1,0,0,0,1000000.0,23583.0,874212,1,0,0,2,0,0.0,819510.0,168,42.0,1,1
40,40,40,40,01/10/1999,0,0,0,0,1000000.0,25316.0,874238,1,0,0,3,0,0.0,798807.0,168,40.0,1,1
41,41,41,41,01/10/1999,1,0,0,0,1000000.0,22500.0,893998,1,0,0,4,3,0.0,867441.0,865,28.0,0,1
42,42,42,42,01/10/1999,0,0,1,12/02/2001,1000000.0,82083.0,231253,1,0,0,0,0,0.0,906618.0,368,40.0,0,0
43,43,43,43,01/10/1999,1,0,0,0,1000000.0,50000.0,407680,1,0,0,0,0,0.0,121225.0,365,34.0,0,0
44,44,44,44,01/10/1999,1,0,1,19/07/2001,1000000.0,92500.0,730190,1,0,0,4,0,0.0,906618.0,367,41.0,0,1
45,45,45,45,01/10/1999,1,0,0,0,1000000.0,22500.0,895783,1,0,0,2,2,0.0,803921.0,368,56.0,0,1
46,46,46,46,01/10/1999,0,0,0,0,1000000.0,42000.0,741585,1,0,0,0,0,0.0,399732.0,265,56.0,0,0
47,47,47,47,01/10/1999,1,0,0,0,1000000.0,43333.0,730615,1,0,0,7,5,0.0,586400.0,265,39.0,0,1
48,48,48,48,01/10/1999,1,0,0,0,1000000.0,66467.0,691357,1,0,0,0,0,0.0,275525.0,665,50.0,1,0
49,49,49,49,01/10/1999,1,0,0,0,1000000.0,25292.0,875304,1,0,0,0,0,0.0,817485.0,67,51.0,0,0
50,50,50,50,01/10/1999,1,0,0,0,1000000.0,26378.0,845877,1,0,0,2,2,0.0,774795.0,367,32.0,1,1
51,51,51,51,01/10/1999,1,0,1,30/05/2001,1000000.0,84594.0,453893,1,0,0,0,0,0.0,906618.0,366,47.0,1,0
52,52,52,52,01/10/1999,1,0,1,05/07/2000,1000000.0,25253.0,0,1,0,0,0,0,0.0,906618.0,367,28.0,1,0
53,53,53,53,01/10/1999,1,0,1,10/11/1999,1000000.0,25253.0,0,0,0,0,0,0,0.0,906618.0,466,61.0,0,0
54,54,54,54,01/10/1999,1,0,1,28/06/2001,600000.0,40919.0,170912,1,330000,0,0,0,0.0,906618.0,569,44.0,0,0
55,55,55,55,01/10/1999,1,0,0,0,1000000.0,30000.0,686039,1,0,0,2,3,0.0,584670.0,569,42.0,0,1
56,56,56,56,01/10/1999,1,0,0,0,1000000.0,26167.0,868874,1,0,100000,0,0,0.0,864870.0,365,47.0,0,0
57,57,57,57,01/10/1999,1,0,0,0,1000000.0,24500.0,985885,1,100000,0,2,2,0.0,921334.0,365,34.0,0,1
58,58,58,58,01/10/1999,1,0,0,0,1000000.0,24167.0,944719,1,100000,0,2,0,0.0,885550.0,865,52.0,0,1
59,59,59,59,01/10/1999,0,0,0,0,1000000.0,23167.0,897783,1,0,0,3,2,0.0,823498.0,865,49.0,0,1
60,60,60,60,01/10/1999,1,0,0,0,1000000.0,25000.0,867946,1,0,0,0,0,0.0,797593.0,865,32.0,0,0
61,61,61,61,01/10/1999,0,0,0,0,1000000.0,26667.0,842996,1,0,0,0,2,0.0,773859.0,266,47.0,0,1
62,62,62,62,01/10/1999,0,0,0,0,1000000.0,56167.0,741848,1,200000,400000,0,0,0.0,936579.0,566,42.0,0,0
63,63,63,63,01/10/1999,0,0,0,0,1000000.0,30333.0,764712,1,0,0,0,0,0.0,643286.0,566,53.0,0,0
64,64,64,64,01/10/1999,0,0,0,0,1000000.0,31167.0,761225,1,0,0,0,0,0.0,632728.0,566,44.0,0,0
65,65,65,65,01/10/1999,1,0,0,0,1000000.0,25750.0,934039,1,100000,0,0,0,0.0,901733.0,365,32.0,0,0
66,66,66,66,01/10/1999,1,0,0,0,1000000.0,25417.0,896283,1,0,0,3,2,0.0,805426.0,566,62.0,0,1
67,67,67,67,01/10/1999,1,0,0,0,1000000.0,25417.0,896283,1,0,0,3,2,0.0,975426.0,566,28.0,0,1
68,68,68,68,01/10/1999,0,0,0,0,1000000.0,29083.0,956989,1,0,100000,2,2,0.0,905223.0,566,49.0,0,1
69,69,69,69,01/10/1999,0,0,0,0,1000000.0,24917.0,836251,1,0,0,0,0,0.0,755343.0,566,37.0,0,0
70,70,70,70,01/10/1999,0,0,0,0,1000000.0,96750.0,820581,1,400000,0,0,0,0.0,906618.0,466,52.0,1,0
71,71,71,71,01/10/1999,1,0,0,0,600000.0,22417.0,371617,1,0,0,3,0,0.0,318224.0,466,28.0,1,1
72,72,72,72,01/10/1999,1,0,0,0,1000000.0,24750.0,885526,1,0,0,0,0,0.0,831768.0,665,55.0,1,0
73,73,73,73,01/10/1999,0,0,0,0,1000000.0,29083.0,945193,1,100000,100000,0,0,0.0,936299.0,365,37.0,0,0
74,74,74,74,01/10/1999,1,0,1,26/06/2001,1000000.0,29167.0,635522,1,0,0,7,6,0.0,906618.0,465,30.0,1,1
75,75,75,75,01/10/1999,0,0,0,0,1000000.0,67500.0,958142,1,100000,500000,3,2,0.0,957578.0,667,46.0,0,1
76,76,76,76,01/10/1999,1,0,1,20/08/2001,600000.0,44328.0,331807,1,0,0,4,3,0.0,906618.0,269,63.0,1,1
77,77,77,77,01/10/1999,0,0,0,0,1000000.0,38750.0,849022,1,0,0,7,4,0.0,755157.0,469,32.0,0,1
78,78,78,78,01/10/1999,0,0,0,0,1000000.0,62500.0,788624,1,500000,410000,0,3,0.0,924728.0,569,42.0,0,1
